,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1s1,1,0,0,0,0,1,0,0,1,0,1,0,1,0
2s1,1,1,0,0,0,1,0,1,1,1,1,0,1,0
3m1,0,1,0,1,1,0,0,1,1,1,1,1,1,1
4m1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
5t1,0,0,1,1,1,1,0,1,1,1,1,1,1,1
5t2,0,0,1,1,1,1,0,1,1,1,1,1,1,1
5t3,0,0,1,1,1,1,0,1,1,1,1,1,1,1
5b,0,0,1,1,1,1,0,1,1,1,1,1,1,1
6t1,0,1,1,1,0,0,1,1,1,0,1,1,0,1
6t2,0,1,1,1,0,0,1,1,1,0,1,1,0,1
6t3,0,1,1,1,0,0,1,1,1,0,1,1,0,1
6b,0,1,1,1,0,0,1,1,1,0,1,1,0,1
7w1,0,0,1,1,1,1,0,0,1,1,1,1,0,1
7w2,0,0,1,1,1,1,0,0,1,1,1,1,0,1
7b,0,0,1,1,1,1,0,0,1,1,1,1,0,1
8w1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
8w2,1,1,1,0,1,1,1,0,1,0,1,0,0,0
8b,1,1,1,0,1,1,1,0,1,0,1,0,0,0
